"Extension","TotalLines","FileCount","MaxInAFile","AvgPerFile"
".php","79467","855","4849","92.94"
".map","4996","20","256","249.8"
".htm","3370","59","275","57.12"
".partial_php","3010","37","293","81.35"
".ttf","962","1","962","962"
".php_des","708","9","137","78.67"
"[no_extension]","549","3","502","183"
".txt","368","8","299","46"
".md","330","6","221","55"
".ps1","286","4","77","71.5"
".xml","177","7","113","25.29"
".z","168","1","168","168"
".py","133","1","133","133"
".p_hp","113","3","44","37.67"
".yml","86","1","86","86"
".json","51","1","51","51"
".php_model","32","1","32","32"
".sh","31","1","31","31"
".css","21","1","21","21"
".dbsurvey","12","1","12","12"
".sqlite-journal","9","1","9","9"
".iml","8","1","8","8"
".gitignore","6","2","5","3"
